reference,latin,translation,explanation,modern
D.50.17.54,Nemo plus iuris ad alium transferre potest quam ipse habet,Никто не может передать больше прав чем имеет сам,Принцип пределов передачи субъективного права,Применяется в цессии и уступке требования
D.2.14.7.4,Pacta sunt servanda,Договоры должны соблюдаться,Стабильность гражданского оборота через обязательность договора,Базовый принцип договорного права
D.44.7.1,Obligatio est iuris vinculum,Обязательство есть правовые узы,Определение обязательства как юридической связи,Современное понятие обязательственного отношения
D.41.1.3,Res nullius cedit primo occupanti,Ничейная вещь достается первому завладевшему,Основание первоначального приобретения права собственности,Применяется к находкам и бесхозяйным вещам
D.50.17.206,Ignorantia legis non excusat,Незнание закона не освобождает от ответственности,Презумпция знания закона для всех участников оборота,Используется в публичном и частном праве
D.17.1.26,Qui facit per alium facit per se,Кто действует через другого действует сам,Ответственность и последствия действий представителя,Современный институт представительства
D.50.17.23,Fraus omnia corrumpit,Обман разрушает всё,Недопустимость злоупотребления и мошенничества,Основание для оспаривания сделок при обмане
D.50.17.85,Prior tempore potior iure,Первый по времени сильнее в праве,Приоритет более раннего права,Очередность залогов и регистраций
D.50.17.10,In dubio pro reo,При сомнении в пользу обвиняемого,Принцип толкования сомнений в пользу лица,Используется в уголовном и дисциплинарном процессе
D.50.17.125,Volenti non fit iniuria,Желающему не причиняется вред,Согласие лица исключает противоправность вмешательства,Применяется в спорах о риске и согласии
D.9.2.27.5,Culpa lata dolo aequiparatur,Грубая неосторожность приравнивается к умыслу,Повышенная форма вины усиливает ответственность,Используется в договорной и деликтной ответственности
D.50.17.45,Nemo iudex in causa sua,Никто не судья в собственном деле,Требование беспристрастности при разрешении спора,Принцип независимости арбитра и судьи
D.50.17.155,Ubi ius ibi remedium,Где есть право там есть и средство защиты,Каждое субъективное право требует процессуальной защиты,Связь материального права и судебной защиты
D.50.17.35,Lex specialis derogat legi generali,Специальный закон отменяет общий,Коллизия норм решается в пользу специальной нормы,Применяется при толковании отраслевого регулирования
D.50.17.188,Lex posterior derogat legi priori,Позднейший закон отменяет предыдущий,Коллизия актов во времени решается новым регулированием,Применяется в динамичном регулировании рынков
D.12.6.14,Solutio indebiti,Исполнение недолжного подлежит возврату,Возврат ошибочно уплаченного как неосновательное обогащение,Иски о возврате излишне уплаченных сумм
D.18.1.1,Emptio venditio contractus bonae fidei,Купля-продажа является договором доброй совести,Требование добросовестного поведения сторон,Используется при оценке поведения продавца и покупателя
D.46.3.95,Acceptilatio est imaginaria solutio,Акцептиляция это мнимое исполнение,Формальное прекращение обязательства без фактического платежа,Современные аналоги прощения долга
D.50.17.134,Genus non perit,Род не погибает,Родовые вещи заменимы и обязательство сохраняется,Поставка товара родовыми признаками
D.50.17.92,Impossibilium nulla obligatio est,Невозможное не порождает обязательства,Нельзя требовать объективно невозможного исполнения,Прекращение обязательства из-за невозможности
D.41.1.7,Accessorium sequitur principale,Принадлежность следует судьбе главной вещи,Юридическая судьба аксессуаров зависит от основной вещи,Применяется в недвижимости и имущественных комплексах
